Date,Open,High,Low,Close,Volume,Adj Close
04/09/2012,5.27,6.15,5.07,5.23,9559700,5.23
01/08/2012,5.34,5.57,4.06,5.29,10310700,5.29
02/07/2012,5.74,5.97,4.62,5.04,6734100,5.04
01/06/2012,5.07,5.79,4.8,5.66,8480000,5.66
01/05/2012,6.03,6.5,4.82,5.24,10883100,5.24
02/04/2012,8.32,8.46,5.7,6.01,16331700,6.01
01/03/2012,9.09,9.49,8.11,8.32,9370600,8.32
01/02/2012,7.87,9.68,7.77,9.09,10746400,9.09
03/01/2012,6.74,8.45,6.57,7.71,8824300,7.71
01/12/2011,6.48,7.05,5.69,6.55,8389300,6.55
01/11/2011,6.01,7.38,5.32,6.59,12065100,6.59
03/10/2011,5.7,6.99,4.84,6.38,11518900,6.38
01/09/2011,6.94,6.97,4.8,5.74,9824500,5.74
01/08/2011,8.44,8.47,5.26,6.93,12240000,6.93
01/07/2011,10.3,10.71,7.56,8.32,11540300,8.32
01/06/2011,11.04,11.12,9.75,10.28,6741800,10.28
02/05/2011,12.31,12.55,10.84,11.11,6335400,11.11
01/04/2011,13.6,13.64,11.78,12.19,4489900,12.19
01/03/2011,13.29,13.58,12.02,13.46,4933500,13.46
01/02/2011,13.68,14.44,12.3,13.23,9712500,13.23
03/01/2011,13.31,14.77,13.12,13.57,8838500,13.57
01/12/2010,11.87,13.54,11.75,13.14,4132400,13.14
01/11/2010,11.37,12.53,11.1,11.66,7405400,11.66
01/10/2010,12.44,13.72,10.61,11.33,9677200,11.33
01/09/2010,11.07,12.98,10.98,12.22,5980100,12.22
02/08/2010,13.73,13.76,10.26,10.84,9821600,10.84
01/07/2010,13.04,16.1,12.39,13.58,11706100,13.58
01/06/2010,15.23,16,13.04,13.07,10791500,13.07
03/05/2010,16.52,18.19,12.98,15.59,13415700,15.59
01/04/2010,18.53,19.36,16.51,16.52,10291700,16.52
01/03/2010,16.06,18.7,15.3,18.34,10591000,18.34
01/02/2010,14.09,16.33,13.07,15.94,11761500,15.94
04/01/2010,11.62,14.38,11.52,13.84,17286600,13.84
01/12/2009,10.93,12.15,10.45,11.35,9565600,11.35
02/11/2009,11.01,11.92,9.47,10.77,18793300,10.77
01/10/2009,11.79,12.4,8.37,10.62,27688400,10.62
01/09/2009,10.62,13.68,8.56,11.95,28952000,11.95
03/08/2009,7.06,10.72,6.83,10.56,20829500,10.56
01/07/2009,7.1,7.25,5.02,6.9,15930700,6.9
01/06/2009,6.28,7.41,5.51,6.99,18659100,6.99
01/05/2009,2.24,6.18,2.23,5.92,31251900,5.92
01/04/2009,1.84,2.75,1.75,2.36,17942600,2.36
02/03/2009,1.13,2.24,0.78,1.9,17962800,1.9
02/02/2009,2.39,3.02,1.15,1.21,16236000,1.21
02/01/2009,2.89,3.38,1.7,2.32,14032100,2.32
01/12/2008,1.39,3.99,1.13,2.83,19597200,2.83
03/11/2008,4.78,6.69,0.7,1.45,19458200,1.45
01/10/2008,7.7,8.5,3.25,4.84,8507800,4.84
02/09/2008,16.39,19.99,3.51,8.61,10434300,8.44
01/08/2008,16.07,16.93,14.46,16.05,5261000,15.73
01/07/2008,17.61,18.27,14.13,15.97,7593900,15.65
02/06/2008,22.05,22.14,17.69,17.81,4269500,17.36
27/05/2008,22.27,22.7,22.08,22.1,4175300,21.54
